interval_start_time,CAISO_system_load,temp_forecast_dayahead_bakersfield,temp_forecast_dayahead_los_angeles,temp_forecast_dayahead_san_francisco,dewpoint_forecast_dayahead_bakersfield,dewpoint_forecast_dayahead_los_angeles,dewpoint_forecast_dayahead_san_francisco
2020-01-09 09:00:00-08:00,25115,44.3,55.3,50.7,41,43.7,45.3
2020-01-09 10:00:00-08:00,24608,46,57,51,41,43,45
2020-01-09 11:00:00-08:00,24004,47.3,57,51.7,41,43.3,44.7
2020-01-09 12:00:00-08:00,23653,48.7,57,52.3,41,43.7,44.3
2020-01-09 13:00:00-08:00,23749,50,57,53,41,44,44
2020-01-09 14:00:00-08:00,23799,50.3,57.7,52.7,41.3,43,44.3
2020-01-09 15:00:00-08:00,24497,50.7,58.3,52.3,41.7,42,44.7
2020-01-09 16:00:00-08:00,25944,51,60,53,42,41,45
2020-01-09 17:00:00-08:00,27829,49.3,59.3,52.3,42,40.3,45
2020-01-09 18:00:00-08:00,28142,47.7,58.7,51.7,42,39.7,45
2020-01-09 19:00:00-08:00,27685,46,58,51,42,39,45
2020-01-09 20:00:00-08:00,26898,45.3,57.3,50.3,42,37.3,43.7
2020-01-09 21:00:00-08:00,25582,44.7,56.7,49.7,42,35.7,42.3
2020-01-09 22:00:00-08:00,23820,44,56,49,42,34,41
2020-01-09 23:00:00-08:00,22275,43.3,55,48.7,42,35,40.7
2020-01-10 00:00:00-08:00,21296,42.7,54,48.3,42,36,40.3
2020-01-10 01:00:00-08:00,20642,42,53,48,42,37,40
2020-01-10 02:00:00-08:00,20575,41.7,52,47.3,41.7,35.7,40.3
2020-01-10 03:00:00-08:00,20603,41.3,51,46.7,41.3,34.3,40.7
2020-01-10 04:00:00-08:00,21223,41,50,46,41,33,41
2020-01-10 05:00:00-08:00,23068,39.7,49.7,46.3,40.3,34,41.3
2020-01-10 06:00:00-08:00,25403,38.3,49.3,46.7,39.7,35,41.7
2020-01-10 07:00:00-08:00,26297,37,49,47,39,36,42
2020-01-10 08:00:00-08:00,25525,39,51.7,48.3,40.3,38,41.3
2020-01-10 09:00:00-08:00,24187,41,54.3,49.7,41.7,40,40.7
2020-01-10 10:00:00-08:00,22993,43,57,51,43,42,40
2020-01-10 11:00:00-08:00,22155,45.7,58.7,52,43,42,40.3
2020-01-10 12:00:00-08:00,21735,48.3,60.3,53,43,42,40.7
2020-01-10 13:00:00-08:00,21900,51,62,54,43,42,41
2020-01-10 14:00:00-08:00,22204,51.7,61,53.7,42.3,44,43
2020-01-10 15:00:00-08:00,23238,52.3,60,53.3,41.7,46,45
2020-01-10 16:00:00-08:00,25105,54,60,51,41,48,47
2020-01-10 17:00:00-08:00,27129,51.7,59,50.7,41,48.3,47
2020-01-10 18:00:00-08:00,27306,49.3,58,50.3,41,48.7,47
2020-01-10 19:00:00-08:00,26812,47,57,50,41,49,47
2020-01-10 20:00:00-08:00,26144,46.7,56.7,49.7,40.3,47.7,46
2020-01-10 21:00:00-08:00,25101,46.3,56.3,49.3,39.7,46.3,45
2020-01-10 22:00:00-08:00,23638,46,56,49,39,45,44
2020-01-10 23:00:00-08:00,22127,44.7,55,48.7,38.7,44.7,44.3
2020-01-11 00:00:00-08:00,20996,43.3,54,48.3,38.3,44.3,44.7
2020-01-11 01:00:00-08:00,20219,42,53,48,38,44,45
2020-01-11 02:00:00-08:00,19720,41.7,52,47.7,37.7,43.7,44.7
2020-01-11 03:00:00-08:00,19575,41.3,51,47.3,37.3,43.3,44.3
2020-01-11 04:00:00-08:00,19856,41,50,47,37,43,44
2020-01-11 05:00:00-08:00,20670,40.3,50.3,47.7,37.3,43.7,44.3
2020-01-11 06:00:00-08:00,21732,39.7,50.7,48.3,37.7,44.3,44.7
2020-01-11 07:00:00-08:00,22222,39,51,49,38,45,45
2020-01-11 08:00:00-08:00,22078,41.3,53,50,38,44,44.3
2020-01-11 09:00:00-08:00,21550,43.7,55,51,38,43,43.7
2020-01-11 10:00:00-08:00,20838,46,57,52,38,42,43
2020-01-11 11:00:00-08:00,20237,47.7,58.7,52.7,38,42,42.7
2020-01-11 12:00:00-08:00,19874,49.3,60.3,53.3,38,42,42.3
2020-01-11 13:00:00-08:00,19956,51,62,54,38,42,42
2020-01-11 14:00:00-08:00,20548,51.3,61.3,53.3,39.7,43.7,42.3
2020-01-11 15:00:00-08:00,21465,51.7,60.7,52.7,41.3,45.3,42.7
2020-01-11 16:00:00-08:00,23070,53,59,53,43,47,43
2020-01-11 17:00:00-08:00,25175,51,58.3,52,43,46.3,43.3
2020-01-11 18:00:00-08:00,25538,49,57.7,51,43,45.7,43.7
2020-01-11 19:00:00-08:00,25182,47,57,50,43,45,44
2020-01-11 20:00:00-08:00,24610,46.3,56.7,49.7,42.7,45.3,43
2020-01-11 21:00:00-08:00,23751,45.7,56.3,49.3,42.3,45.7,42
2020-01-11 22:00:00-08:00,22510,45,56,49,42,46,41
2020-01-11 23:00:00-08:00,21283,44.3,55.3,48.7,41.7,45.7,40.7
2020-01-12 00:00:00-08:00,20443,43.7,54.7,48.3,41.3,45.3,40.3
2020-01-12 01:00:00-08:00,20004,43,54,48,41,45,40
2020-01-12 02:00:00-08:00,19583,42.7,53,47.3,41,44.7,40
2020-01-12 03:00:00-08:00,19421,42.3,52,46.7,41,44.3,40
2020-01-12 04:00:00-08:00,19643,42,51,46,41,44,40
2020-01-12 05:00:00-08:00,20253,40.7,50.3,46.7,40.3,43,40.3
2020-01-12 06:00:00-08:00,21068,39.3,49.7,47.3,39.7,42,40.7
2020-01-12 07:00:00-08:00,21423,38,49,48,39,41,41
2020-01-12 08:00:00-08:00,21243,39.3,50.3,49.7,39,42.7,40.3
2020-01-12 09:00:00-08:00,20787,40.7,51.7,51.3,39,44.3,39.7
2020-01-12 10:00:00-08:00,20176,42,53,53,39,46,39
2020-01-12 11:00:00-08:00,19412,44.3,54.3,53.7,39.3,46.3,39.3
2020-01-12 12:00:00-08:00,19500,46.7,55.7,54.3,39.7,46.7,39.7
2020-01-12 13:00:00-08:00,19899,49,57,55,40,47,40
2020-01-12 14:00:00-08:00,20329,49.7,56.3,55,40.3,47,41.3
2020-01-12 15:00:00-08:00,21227,50.3,55.7,55,40.7,47,42.7
2020-01-12 16:00:00-08:00,23263,52,56,55,41,47,44
2020-01-12 17:00:00-08:00,25533,50.3,55.3,54.3,41.3,47,44.7
2020-01-12 18:00:00-08:00,26011,48.7,54.7,53.7,41.7,47,45.3
2020-01-12 19:00:00-08:00,25721,47,54,53,42,47,46
2020-01-12 20:00:00-08:00,25012,46,53.7,52.7,40.7,47,45
2020-01-12 21:00:00-08:00,23791,45,53.3,52.3,39.3,47,44
2020-01-12 22:00:00-08:00,22169,44,53,52,38,47,43
2020-01-12 23:00:00-08:00,20766,43,52.7,51.3,38,46.7,43
2020-01-13 00:00:00-08:00,19936,42,52.3,50.7,38,46.3,43
2020-01-13 01:00:00-08:00,19508,41,52,50,38,46,43
2020-01-13 02:00:00-08:00,19478,40.7,51.7,49.3,38,45.7,43.3
2020-01-13 03:00:00-08:00,19717,40.3,51.3,48.7,38,45.3,43.7
2020-01-13 04:00:00-08:00,20677,40,51,48,38,45,44
2020-01-13 05:00:00-08:00,22466,39.7,50.3,48.3,38,44,44
2020-01-13 06:00:00-08:00,24973,39.3,49.7,48.7,38,43,44
2020-01-13 07:00:00-08:00,26015,39,49,49,38,42,44
2020-01-13 08:00:00-08:00,25275,41.3,50.3,50.7,38,43.3,43.7
2020-01-13 09:00:00-08:00,23995,43.7,51.7,52.3,38,44.7,43.3
2020-01-13 10:00:00-08:00,23044,46,53,54,38,46,43
2020-01-13 11:00:00-08:00,22504,48.3,54.7,54.7,37.7,45.7,43.3
2020-01-13 12:00:00-08:00,22587,50.7,56.3,55.3,37.3,45.3,43.7
2020-01-13 13:00:00-08:00,22838,53,58,56,37,45,44
2020-01-13 14:00:00-08:00,23111,53.7,57.3,56,37.7,46,44.3
2020-01-13 15:00:00-08:00,23955,54.3,56.7,56,38.3,47,44.7
2020-01-13 16:00:00-08:00,25772,54,57,53,39,48,45
2020-01-13 17:00:00-08:00,27899,51.7,56.3,52.7,39,48.3,45.7
2020-01-13 18:00:00-08:00,28223,49.3,55.7,52.3,39,48.7,46.3
2020-01-13 19:00:00-08:00,27700,47,55,52,39,49,47
2020-01-13 20:00:00-08:00,26773,46.3,54.7,51.7,38.3,48.3,46
2020-01-13 21:00:00-08:00,25323,45.7,54.3,51.3,37.7,47.7,45
2020-01-13 22:00:00-08:00,23503,45,54,51,37,47,44
2020-01-13 23:00:00-08:00,21854,44,53.3,50.7,37,47,44
2020-01-14 00:00:00-08:00,20851,43,52.7,50.3,37,47,44
2020-01-14 01:00:00-08:00,20205,42,52,50,37,47,44
2020-01-14 02:00:00-08:00,19876,41.3,51.7,49.3,36.3,46.3,44.7
2020-01-14 03:00:00-08:00,19983,40.7,51.3,48.7,35.7,45.7,45.3
2020-01-14 04:00:00-08:00,20852,40,51,48,35,45,46
2020-01-14 05:00:00-08:00,22803,39.7,50.3,48.3,35.3,45,45.3
2020-01-14 06:00:00-08:00,25297,39.3,49.7,48.7,35.7,45,44.7
2020-01-14 07:00:00-08:00,26156,39,49,49,36,45,44
